Transaction_ID,Date,Account_Type,Transaction_Amount,Cash_Flow,Net_Income,Revenue,Expenditure,Profit_Margin,Debt-to-Equity_Ratio,Operating_Expenses,Gross_Profit,Transaction_Volume,Processing_Time_seconds,Accuracy_Score,Missing_Data_Indicator,Normalized_Transaction_Amount,Transaction_Outcome,Month_Year,Month,Month_Num,Quarter,Year,DayOfWeek,Net_Profit,OpEx_Ratio,Success_Flag
1,2025-01-01,Asset,1176,3184,2174,3137,1823,0.6072,2.067,4098,2327,8,1.8947,0.9599,0,0.2187,1,2025-01,January,1,1,2025,Wednesday,1314,1.3063,Success
2,2025-01-02,Asset,1291,3221,3236,4694,2746,0.3556,2.3475,3872,388,5,1.729,0.9664,0,0.2422,1,2025-01,January,1,1,2025,Thursday,1948,0.8249,Success
3,2025-01-03,Revenue,4966,3309,3689,3363,3102,0.6783,1.901,4780,2616,2,1.7071,0.8283,0,0.9935,1,2025-01,January,1,1,2025,Friday,261,1.4213,Success
4,2025-01-04,Expense,4641,1952,245,4373,808,0.221,0.9341,4948,2237,8,1.7506,0.9841,0,0.927,1,2025-01,January,1,1,2025,Saturday,3565,1.1315,Success
5,2025-01-05,Expense,2305,2131,2037,4956,644,0.5093,1.0612,3289,1729,3,0.8797,0.9291,0,0.4495,1,2025-01,January,1,1,2025,Sunday,4312,0.6636,Success
6,2025-01-06,Revenue,3102,2795,1715,909,3287,0.4384,2.5465,3129,1770,2,1.2949,0.8827,0,0.6124,1,2025-01,January,1,1,2025,Monday,-2378,3.4422,Success
7,2025-01-07,Revenue,3847,2485,3955,4309,3011,0.7711,2.1858,3877,567,5,1.4303,0.8025,0,0.7647,1,2025-01,January,1,1,2025,Tuesday,1298,0.8997,Success
8,2025-01-08,Asset,3061,4125,3477,612,3914,0.551,1.0909,1875,3335,3,1.2391,0.8281,0,0.604,1,2025-01,January,1,1,2025,Wednesday,-3302,3.0637,Success
9,2025-01-09,Expense,1490,2044,1907,3273,1045,0.4124,2.9323,4847,621,2,1.5171,0.8081,0,0.2829,1,2025-01,January,1,1,2025,Thursday,2228,1.4809,Success
10,2025-01-10,Liability,3265,3041,2905,898,3931,0.7897,2.7887,2001,2829,5,0.5583,0.8658,0,0.6457,1,2025-01,January,1,1,2025,Friday,-3033,2.2283,Success
11,2025-01-11,Expense,407,1700,2616,2987,362,0.6446,2.1342,521,3648,7,0.5764,0.9102,0,0.0615,1,2025-01,January,1,1,2025,Saturday,2625,0.1744,Success
12,2025-01-12,Revenue,4768,1946,3422,2035,534,0.4899,2.7433,3890,3378,2,0.5022,0.8486,0,0.953,1,2025-01,January,1,1,2025,Sunday,1501,1.9115,Success
13,2025-01-13,Revenue,3197,3969,375,2739,272,0.7719,1.854,4106,1070,9,0.6093,0.9222,0,0.6318,0,2025-01,January,1,1,2025,Monday,2467,1.4991,Failure
14,2025-01-14,Revenue,3997,3825,3205,4541,2145,0.5974,2.412,2571,1689,8,1.6131,0.9419,0,0.7954,1,2025-01,January,1,1,2025,Tuesday,2396,0.5662,Success
15,2025-01-15,Revenue,2244,2306,772,4540,3912,0.7486,1.8607,1644,865,8,1.5942,0.8752,0,0.437,1,2025-01,January,1,1,2025,Wednesday,628,0.3621,Success
16,2025-01-16,Revenue,3232,1442,3692,574,3863,0.6386,2.4859,2449,3677,5,1.0934,0.8957,0,0.639,1,2025-01,January,1,1,2025,Thursday,-3289,4.2666,Success
17,2025-01-17,Asset,1701,2561,3961,3650,1196,0.2132,0.5454,2577,699,7,1.8984,0.9597,0,0.326,1,2025-01,January,1,1,2025,Friday,2454,0.706,Success
18,2025-01-18,Revenue,4044,3825,2580,1441,2870,0.5974,1.9296,1564,3930,1,1.5848,0.9346,0,0.805,1,2025-01,January,1,1,2025,Saturday,-1429,1.0854,Success
19,2025-01-19,Liability,2747,2662,3756,2371,1509,0.6436,0.7333,3376,3750,7,0.8216,0.8855,0,0.5399,1,2025-01,January,1,1,2025,Sunday,862,1.4239,Success
20,2025-01-20,Expense,4625,1555,1801,959,3039,0.4364,2.1449,1217,369,9,1.1839,0.9007,0,0.9238,1,2025-01,January,1,1,2025,Monday,-2080,1.269,Success
